meterId,valueType,startDate,endDate
ac4e36,electricity,2019-01-01,2021-12-31
a822fb,electricity,2020-02-01,2022-09-27
bd8492,electricity,2022-09-28,2023-12-31
cae0de,electricity,2019-01-01,2021-12-31
e4c353,electricity,2018-03-15,2020-10-11
328f0a,electricity,2020-09-28,2024-01-14
aaf4bf,water,2019-01-01,2021-12-31
b8e3e3,water,2020-02-01,2022-09-27
c8e3e3,water,2022-09-28,2023-12-31
d8e3e3,water,2019-01-01,2021-12-31
e8e3e3,water,2018-03-15,2020-10-11
04ca80,water,2018-10-12,2021-09-11
f00fbd,gas,2019-01-01,2021-12-31
57560a,gas,2019-08-10,2022-09-27
0590e3,gas,2022-09-28,2023-12-31